가,1790,3549,7223,NP,*,F,가,*,*,*,*
각각,1790,3550,4271,NP,*,T,각각,*,*,*,*
각자,1790,3549,4284,NP,*,F,각자,*,*,*,*
개,1790,3549,6683,NP,*,F,개,*,*,*,*
갸,1790,3549,3641,NP,*,F,갸,*,*,*,*
걔,1790,3549,2108,NP,*,F,걔,*,*,*,*
걔네,1790,3549,4492,NP,*,F,걔네,*,*,*,*
거,1790,3549,3958,NP,*,F,거,*,*,*,*
거것,1790,3550,3965,NP,*,T,거것,*,*,*,*
거그,1790,3549,3797,NP,*,F,거그,*,*,*,*
거기,1790,3549,-538,NP,*,F,거기,*,*,*,*
거시기,1790,3549,4171,NP,*,F,거시기,*,*,*,*
것,1790,3550,4715,NP,*,T,것,*,*,*,*
게,1790,3549,6097,NP,*,F,게,*,*,*,*
경,1790,3550,6207,NP,*,T,경,*,*,*,*
고,1790,3549,6536,NP,*,F,고,*,*,*,*
고개,1790,3549,4474,NP,*,F,고개,*,*,*,*
고거,1790,3549,3090,NP,*,F,고거,*,*,*,*
고것,1790,3550,3395,NP,*,T,고것,*,*,*,*
고게,1790,3549,3632,NP,*,F,고게,*,*,*,*
고곳,1790,3550,3635,NP,*,T,고곳,*,*,*,*
고기,1790,3549,4321,NP,*,F,고기,*,*,*,*
고녀석,1790,3550,3803,NP,*,T,고녀석,*,*,*,*
고년,1790,3550,3635,NP,*,T,고년,*,*,*,*
고놈,1790,3550,3587,NP,*,T,고놈,*,*,*,*
고따위,1790,3549,3635,NP,*,F,고따위,*,*,*,*
고쪽,1790,3550,3635,NP,*,T,고쪽,*,*,*,*
공,1790,3550,6175,NP,*,T,공,*,*,*,*
과인,1790,3550,3744,NP,*,T,과인,*,*,*,*
국토지기,1790,3549,3635,NP,*,F,국토지기,*,*,*,*
군,1790,3550,6062,NP,*,T,군,*,*,*,*
궐녀,1790,3549,3635,NP,*,F,궐녀,*,*,*,*
궐자,1790,3549,3635,NP,*,F,궐자,*,*,*,*
귀공,1790,3550,3635,NP,*,T,귀공,*,*,*,*
귀관,1790,3550,3635,NP,*,T,귀관,*,*,*,*
귀군,1790,3550,3635,NP,*,T,귀군,*,*,*,*
귀하,1790,3549,2898,NP,*,F,귀하,*,*,*,*
귀형,1790,3550,3635,NP,*,T,귀형,*,*,*,*
그,1790,3549,3958,NP,*,F,그,*,*,*,*
그거,1790,3549,-242,NP,*,F,그거,*,*,*,*
그것,1790,3550,-978,NP,*,T,그것,*,*,*,*
그게,1790,3549,2806,NP,*,F,그게,*,*,*,*
그곳,1790,3550,1689,NP,*,T,그곳,*,*,*,*
그그서,1790,3549,3835,NP,*,F,그그서,*,*,*,*
그기,1790,3549,3951,NP,*,F,그기,*,*,*,*
그날,1790,3550,4517,NP,*,T,그날,*,*,*,*
그네,1790,3549,3642,NP,*,F,그네,*,*,*,*
그녀,1790,3549,2286,NP,*,F,그녀,*,*,*,*
그녀석,1790,3550,3635,NP,*,T,그녀석,*,*,*,*
그년,1790,3550,3635,NP,*,T,그년,*,*,*,*
그놈,1790,3550,2780,NP,*,T,그놈,*,*,*,*
그눔,1790,3550,3635,NP,*,T,그눔,*,*,*,*
그니,1790,3549,4570,NP,*,F,그니,*,*,*,*
그대,1790,3549,2000,NP,*,F,그대,*,*,*,*
그들,1790,3550,3639,NP,*,T,그들,*,*,*,*
그따위,1790,3549,3635,NP,*,F,그따위,*,*,*,*
그때,1790,3549,5106,NP,*,F,그때,*,*,*,*
그려,1790,3549,4267,NP,*,F,그려,*,*,*,*
그분,1790,3550,2011,NP,*,T,그분,*,*,*,*
그시기,1790,3549,4269,NP,*,F,그시기,*,*,*,*
